"YEAR","species","scenario","quantity","green_tons_total","total_se_percent","total_lower_95","total_upper_95","interval_df","total_se_tons","green_tons_per_acre","per_acre_se_percent","nonreserved_acres","area_se_percent","area_plots","species_plots","positive_mass_plots","tree_records","coverage","allocation","green_ratio_used"
2019,"Ponderosa pine","rule","boughs",45402.9729004259,40.5593128017648,9069.69449422847,81736.2513066234,183,18415.1337999842,0.121815650763915,39.5053675739614,372718.715663385,7.26975892263315,184,50,16,276,"High Cascades Ranger District proxy","cone",2.42
2019,"Ponderosa pine","rule","foliage_only",11058.6923670335,38.4736323234123,2664.15676710331,19453.2279669636,183,4254.68064106972,0.0296703436191837,37.4989958974542,372718.715663385,7.26975892263315,184,50,16,276,"High Cascades Ranger District proxy","cone",2.42
2019,"Shasta red fir (with California and noble)","reach","boughs",22579.5180416007,36.5460207238298,6298.39074751267,38860.6453356888,183,8251.91534282429,0.0605805855534045,36.3081866235705,372718.715663385,7.26975892263315,184,52,20,633,"High Cascades Ranger District proxy","cone",2.42
2019,"Shasta red fir (with California and noble)","reach","foliage_only",6553.42184120859,35.3845852412791,1978.20226665526,11128.6414157619,183,2318.90113762306,0.0175827549457624,35.1409400291622,372718.715663385,7.26975892263315,184,52,20,633,"High Cascades Ranger District proxy","cone",2.42
2019,"Shasta red fir (with California and noble)","rule","boughs",42143.9138496146,30.7929084018058,16539.4737388764,67748.3539603529,183,12977.3367886478,0.113071633053373,30.5217445487694,372718.715663385,7.26975892263315,184,52,24,633,"High Cascades Ranger District proxy","cone",2.42
2019,"Shasta red fir (with California and noble)","rule","foliage_only",11147.1532889292,30.9210251956425,4346.54804561723,17947.7585322412,183,3446.8140770667,0.0299076832487172,30.6548123660059,372718.715663385,7.26975892263315,184,52,24,633,"High Cascades Ranger District proxy","cone",2.42
2019,"Western white pine","reach","boughs",2433.94169317223,57.8529509950344,-344.270383048001,5212.15376939245,183,1408.10709499864,0.0065302373905216,57.7545680939135,372718.715663385,7.26975892263315,184,33,4,79,"High Cascades Ranger District proxy","cone",2.42
2019,"Western white pine","reach","foliage_only",1029.5334000215,58.5849008044971,-160.490948638723,2219.55774868171,183,603.151121151759,0.00276222619566896,58.4896023036395,372718.715663385,7.26975892263315,184,33,4,79,"High Cascades Ranger District proxy","cone",2.42
2019,"Western white pine","rule","boughs",17677.3388165403,45.899941876878,1668.54063665328,33686.1369964273,183,8113.88824217079,0.0474280954340519,46.020416877661,372718.715663385,7.26975892263315,184,33,10,79,"High Cascades Ranger District proxy","cone",2.42
2019,"Western white pine","rule","foliage_only",3524.54654608689,39.3463924431386,788.409302390866,6260.68378978292,183,1386.78191586443,0.00945631758741631,39.3915534990404,372718.715663385,7.26975892263315,184,33,10,79,"High Cascades Ranger District proxy","cone",2.42
2019,"White and grand fir","reach","boughs",81905.0665483889,21.57317715473,47042.8829810627,116767.250115715,183,17669.5251051834,0.219750345518898,19.6989515718306,372718.715663385,7.26975892263315,184,148,76,1526,"High Cascades Ranger District proxy","cone",2.42
2019,"White and grand fir","reach","foliage_only",34134.1543933238,19.8158750546352,20788.7385258987,47479.5702607488,183,6763.98138553733,0.0915815411430841,17.9272783388296,372718.715663385,7.26975892263315,184,148,76,1526,"High Cascades Ranger District proxy","cone",2.42
2019,"White and grand fir","rule","boughs",242898.497687314,15.0091197739689,170968.547418018,314828.44795661,183,36456.92644706,0.651693857806389,13.123122969051,372718.715663385,7.26975892263315,184,148,97,1526,"High Cascades Ranger District proxy","cone",2.42
2019,"White and grand fir","rule","foliage_only",80004.6155012964,14.9595600454645,56390.9410461601,103618.289956433,183,11968.3384950594,0.214651457356789,12.984325985451,372718.715663385,7.26975892263315,184,148,97,1526,"High Cascades Ranger District proxy","cone",2.42
