"YEAR","species","quantity","component","green_tons_per_year","total_se_percent","green_tons_acre_year","per_acre_se_percent","total_se_tons_per_year","framework_species_plots","area_plots","nonreserved_acres","component_plots","excluded_unlinked"
2019,"white fir","foliage_only","survivor_accrual",3387.28426532972,17.6314133878282,0.00897740911477843,16.4474450119022,597.226091441142,132,168,377312.00862325,62,1
2019,"white fir","foliage_only","survivor_loss",-2745.35086396432,36.9970531680482,-0.00727607603580298,35.0973728502496,1015.69891879035,132,168,377312.00862325,49,1
2019,"Combined","boughs","ingrowth",6829.99115890078,17.5794205925156,0.0181017062876485,16.4408427294655,1200.6728722548,166,168,377312.00862325,75,10
2019,"Combined","boughs","mortality",2659.69078023098,29.8194821690157,0.00704904884934819,29.318416306875,793.106017961932,166,168,377312.00862325,24,10
2019,"Combined","boughs","net_change",-1140.54852709299,806.706227757851,-0.00302282593987578,805.281317329032,9200.87599865961,166,168,377312.00862325,145,10
2019,"Combined","boughs","removals",6056.32267365344,75.4429369327042,0.0160512322301958,73.9450228407869,4569.06769512543,166,168,377312.00862325,7,10
2019,"Combined","boughs","survivor_accrual",28888.2115261736,13.4512469843009,0.0765631913799456,12.3580260818031,3885.82468173289,166,168,377312.00862325,108,10
2019,"Combined","boughs","survivor_loss",-28142.737758283,21.2746555143869,-0.0745874425279259,19.2902820835175,5987.27051039199,166,168,377312.00862325,93,10
2019,"Combined","foliage_only","ingrowth",2387.04462244057,16.9693584239198,0.00632644752323283,15.789867955508,405.066157720842,166,168,377312.00862325,75,10
2019,"Combined","foliage_only","mortality",930.674002606019,28.5845939416954,0.00246658993442031,28.0811982993238,266.029384565855,166,168,377312.00862325,24,10
2019,"Combined","foliage_only","net_change",-544.989678906451,458.741122494633,-0.00144440056624497,457.313841782727,2500.09177049535,166,168,377312.00862325,145,10
2019,"Combined","foliage_only","removals",1672.50272944966,73.1928620507517,0.00443267823770664,71.6611717377945,1224.15261556115,166,168,377312.00862325,7,10
2019,"Combined","foliage_only","survivor_accrual",7352.15261229697,13.2574532212836,0.0194856046037967,12.0778573705865,974.708193332653,166,168,377312.00862325,106,10
2019,"Combined","foliage_only","survivor_loss",-7681.0101815883,22.5307560044168,-0.0203571845211475,20.6402577191124,1730.58966268807,166,168,377312.00862325,94,10
