"YEAR","species","scenario","quantity","component","green_tons_acre_year","green_tons_per_year","per_acre_se_percent","total_se_percent","total_se_tons_per_year","per_acre_se_tons_year","area_plots","nonreserved_acres","area_se_percent","coverage","allocation","green_ratio_used","component_plots","excluded_unlinked"
2019,"Ponderosa pine","reach","boughs","gross_accrual",0.00252349997039592,952.146842590798,46.8054341395236,46.8947796060206,446.507163358639,0.00118113511665456,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,6,1
2019,"Ponderosa pine","reach","boughs","survivor_loss",-0.0058315214761424,-2200.30308149291,43.9917967096615,44.2113991364619,972.7847775707,0.00256539107286481,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,10,1
2019,"Ponderosa pine","reach","boughs","ingrowth_gain",0.00104554173346316,394.495451552419,48.6772242708085,49.8209456011309,196.541364316867,0.000508940694442761,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,8,1
2019,"Ponderosa pine","reach","boughs","mortality_loss",0,0,NA,NA,NA,NA,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,0,1
2019,"Ponderosa pine","reach","boughs","removal_loss",0,0,NA,NA,NA,NA,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,0,1
2019,"Ponderosa pine","reach","foliage_only","net_change",-0.000599242800022926,-226.101504529671,98.0985347199526,98.0299690776427,221.647234974521,0.000587848406237306,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,16,1
2019,"Ponderosa pine","reach","foliage_only","gross_accrual",0.000575448166965292,217.123503736242,46.6257173112892,46.7115275226007,101.42170520579,0.000268306835602233,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,6,1
2019,"Ponderosa pine","reach","foliage_only","survivor_loss",-0.00146726670391496,-553.617347240171,42.8992479768007,43.1284727268519,238.766706615598,0.000629446381793511,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,10,1
2019,"Ponderosa pine","reach","foliage_only","ingrowth_gain",0.000292575736926746,110.392338974258,47.944933829825,49.0856489538685,54.186795980869,0.000140275243471651,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,8,1
2019,"Ponderosa pine","reach","foliage_only","mortality_loss",0,0,NA,NA,NA,NA,168,377312.00862325,7.43352415574351,"High Cascades Ranger District proxy","cone",2.42,0,1
