"YEAR","species","scenario","quantity","component","green_tons_acre_year","green_tons_per_year","per_acre_se_percent","total_se_percent","total_se_tons_per_year","per_acre_se_tons_year"
2019,"red fir (Shasta, California and noble)","reach","boughs","mortality_loss",9.28557493231679e-05,46.2496286609797,73.7562040762242,73.8644550843694,34.162036188977,6.84868759673029e-05
2019,"red fir (Shasta, California and noble)","reach","boughs","removal_loss",0,0,NA,NA,NA,NA
2019,"red fir (Shasta, California and noble)","reach","foliage_only","net_change",-0.00036358238866948,-181.093261173435,104.277215460837,104.487357004744,189.219562313821,0.000379133590810531
2019,"red fir (Shasta, California and noble)","reach","foliage_only","survivor_change",-0.000678036240598636,-337.716561170967,60.3657316852053,60.7058925564958,205.01385276994,0.000409301537728226
2019,"red fir (Shasta, California and noble)","reach","foliage_only","gross_accrual",0.000600178346636036,298.93707029029,39.3817486385524,39.740193937647,118.798171484881,0.000236360727855223
2019,"red fir (Shasta, California and noble)","reach","foliage_only","survivor_loss",-0.00127821458723467,-636.653631461257,40.4831379136728,40.9151236834001,260.487620747232,0.000517461374182896
2019,"red fir (Shasta, California and noble)","reach","foliage_only","ingrowth_gain",0.000343923690215811,171.301648806213,50.6266657039106,50.982633470903,87.334091740485,0.000174117096922112
2019,"red fir (Shasta, California and noble)","reach","foliage_only","mortality_loss",2.94698382866539e-05,14.6783488086806,74.3291783789517,74.4354415189066,10.9258937434266,2.19046886680756e-05
2019,"red fir (Shasta, California and noble)","reach","foliage_only","removal_loss",0,0,NA,NA,NA,NA
2019,"red fir (Shasta, California and noble)","rule","boughs","net_change",-0.00510232500468067,-2541.36807353548,81.228760148727,81.4178536156208,2069.12733794524,0.00414455534006059
2019,"red fir (Shasta, California and noble)","rule","boughs","survivor_change",-0.00612515401063756,-3050.81915280626,67.5513958098826,67.7881034798619,2068.09244428775,0.00413762702969068
2019,"red fir (Shasta, California and noble)","rule","boughs","gross_accrual",0.00445745602742377,2220.17147611945,28.2143375367292,28.6823098966914,636.796463018528,0.00125764168912863
2019,"red fir (Shasta, California and noble)","rule","boughs","survivor_loss",-0.0105826100380613,-5270.99062892571,41.5452617476558,41.9018617240435,2208.64320481974,0.00439657304004628
2019,"red fir (Shasta, California and noble)","rule","boughs","ingrowth_gain",0.00111568475528006,555.700707931763,51.8613989457853,52.2126451577066,290.146038771275,0.000578609721913099
2019,"red fir (Shasta, California and noble)","rule","boughs","mortality_loss",9.28557493231679e-05,46.2496286609797,73.7562040762242,73.8644550843694,34.162036188977,6.84868759673029e-05
2019,"red fir (Shasta, California and noble)","rule","boughs","removal_loss",0,0,NA,NA,NA,NA
2019,"red fir (Shasta, California and noble)","rule","foliage_only","net_change",-0.00178999848524319,-891.563159520571,81.2523968847342,81.436435555126,726.057257836215,0.00145441667346053
2019,"red fir (Shasta, California and noble)","rule","foliage_only","survivor_change",-0.00210445233717235,-1048.1864595181,69.3043227714414,69.5287424072258,728.790863385763,0.00145847644032507
2019,"red fir (Shasta, California and noble)","rule","foliage_only","gross_accrual",0.00104356896638854,519.781247035291,28.708713664716,29.1547899344928,151.541130692026,0.000299595226454323
2019,"red fir (Shasta, California and noble)","rule","foliage_only","survivor_loss",-0.00314802130356089,-1567.96770655339,47.3250830109829,47.6345291900691,746.894034869034,0.00148980369511362
2019,"red fir (Shasta, California and noble)","rule","foliage_only","ingrowth_gain",0.000343923690215811,171.301648806213,50.6266657039106,50.982633470903,87.334091740485,0.000174117096922112
2019,"red fir (Shasta, California and noble)","rule","foliage_only","mortality_loss",2.94698382866539e-05,14.6783488086806,74.3291783789517,74.4354415189066,10.9258937434266,2.19046886680756e-05
2019,"red fir (Shasta, California and noble)","rule","foliage_only","removal_loss",0,0,NA,NA,NA,NA
2019,"Combined","reach","boughs","net_change",-0.00134817837260339,-671.501221584708,363.681960198011,363.697562548796,2442.23357538897,0.00490308153244965
2019,"Combined","reach","boughs","survivor_change",-0.0131373441021883,-6543.45359061277,31.0721853125857,31.3980983933315,2054.51999670258,0.004082059904584
2019,"Combined","reach","boughs","gross_accrual",0.0168881112323769,8411.63717891482,14.9907609655237,15.7303889633467,1323.18324642878,0.00253165638643739
2019,"Combined","reach","boughs","survivor_loss",-0.0300254553345653,-14955.0907695276,14.367798868744,15.1037163705618,2258.77449278951,0.00431399703189489
2019,"Combined","reach","boughs","ingrowth_gain",0.0161019380424807,8020.05972290427,15.0773760781235,15.7967864654572,1266.91170882933,0.00242774975453125
2019,"Combined","reach","boughs","mortality_loss",0.0033346707714849,1660.93414798731,30.8902877392792,31.2809610870282,519.556164513076,0.00103008939646933
2019,"Combined","reach","boughs","removal_loss",0.000978101541410842,487.173205888895,56.1895352387288,56.4117530679804,274.822945919407,0.000549590710281594
2019,"Combined","reach","foliage_only","net_change",-0.00072329448776387,-360.258806971536,212.476502003448,212.528262409817,765.651782634941,0.00153683082678443
2019,"Combined","reach","foliage_only","survivor_change",-0.00464705110864219,-2314.60506979799,26.8189151875625,27.210412219931,629.813580755454,0.00124628869554943
2019,"Combined","reach","foliage_only","gross_accrual",0.00491187001363364,2446.5061756265,14.3454995931385,15.1171071925866,369.840961042711,0.000704632292821305
2019,"Combined","reach","foliage_only","survivor_loss",-0.00955892112227583,-4761.11124542449,13.8888277879865,14.658253204161,697.895741686103,0.00132762209306235
2019,"Combined","reach","foliage_only","ingrowth_gain",0.0055854182165838,2781.98733321534,14.4815660001755,15.2184383193967,423.375026358806,0.000808856025420409
2019,"Combined","reach","foliage_only","mortality_loss",0.00133317004069403,664.025865640806,30.4713281605887,30.8575809034211,204.902318709754,0.000406234618038533
2019,"Combined","reach","foliage_only","removal_loss",0.000328491555011442,163.615204748085,55.9366139995276,56.161259595671,91.8883598765608,0.000183747053147796
2019,"Combined","rule","boughs","net_change",0.013694052345678,6820.73905458865,99.8670559031424,99.9356903000186,6816.35265776613,0.0136758469114638
2019,"Combined","rule","boughs","survivor_change",0.0042813027840207,2132.43299838163,299.241331009175,299.24221581639,6381.13975515706,0.0128114274354364
2019,"Combined","rule","boughs","gross_accrual",0.0737640644644597,36740.4346513052,10.4384311135435,11.4404196828389,4203.2599174085,0.00769981105567242
2019,"Combined","rule","boughs","survivor_loss",-0.069482761680439,-34608.0016529236,14.6225727937227,15.3967577611618,5328.51018047951,0.0101601674058111
2019,"Combined","rule","boughs","ingrowth_gain",0.0170391482060958,8486.86573503001,15.2234115500485,15.944719627442,1353.20694660798,0.00259393965603667
2019,"Combined","rule","boughs","mortality_loss",0.00633036941081823,3153.03292118411,26.2334365961363,26.7276203082308,842.730667367607,0.0016606734456882
2019,"Combined","rule","boughs","removal_loss",0.00129602923362028,645.526757638869,55.5023418232044,55.7233971567266,359.709438912047,0.000719326575372586
